dataset_type,train_number,train_type,station_sequence,current_delay,current_speed,distance_to_next_station,distance_from_origin,journey_time,station_halt_duration,time_of_day,day_of_week,signal_status,signal_waiting_time,block_status,track_occupancy,section_restriction,construction_active,maintenance_active,engineering_block,temporary_speed_restriction,affected_section,restriction_duration,congestion_level,preceding_train_delay,train_density,previous_station_delay,temperature,humidity,precipitation,rain,showers,weather_code,cloud_cover,visibility,wind_speed,wind_direction,wind_gusts,weather_impact,actual_additional_delay_minutes
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43423,EMU Local,12,7.4,60.5,2.8,22.549999999999997,48.0,0.5,20,2,Normal,0.2,Clear,0.17,0,0,0,0,0,0,0,0.79,0.5,3,8.9,33.1,65.9,0.0,0.0,0.0,0,40.3,8600.0,16.2,62,24.4,0,3.7
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43237,EMU Local,5,0.9,30.7,2.2,8.2,15.7,1.0,14,2,Normal,0.4,Clear,0.39,0,1,0,0,15,1,104,0.26,0.5,1,0.5,28.2,64.4,0.0,0.0,0.0,0,17.2,9916.0,26.1,27,35.1,1,14.6
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43407,EMU Local,20,5.4,59.8,1.0,38.949999999999996,75.5,0.5,7,0,Normal,0.6,Clear,0.38,0,1,0,0,20,1,41,0.12,0.4,2,8.0,43.8,69.8,0.0,0.0,0.0,0,29.3,5226.0,31.1,44,49.7,2,10.8
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43435,EMU Local,7,4.6,38.0,2.3,12.299999999999999,26.7,1.0,7,6,Normal,0.5,Clear,0.31,0,0,0,0,0,0,0,0.29,1.6,1,3.1,34.5,55.3,0.0,0.0,0.0,0,32.9,7891.0,35.7,303,54.8,2,7.5
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43425,EMU Local,16,5.7,36.4,1.5,30.749999999999996,61.0,0.5,8,1,Warning,2.2,Occupied,0.61,0,0,0,0,0,0,0,0.23,0.9,1,3.6,26.8,81.1,0.0,0.0,0.0,0,54.2,6127.0,20.9,88,26.6,0,3.1
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43403,EMU Local,20,3.0,52.5,2.1,38.949999999999996,73.1,0.5,11,4,Normal,0.1,Clear,0.17,0,0,0,0,0,0,0,0.14,0.7,2,3.3,35.3,98.0,0.0,0.0,0.0,2,46.3,7215.0,33.2,30,47.3,2,8.6
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43423,MEMU,1,4.1,36.9,2.3,0.0,4.1,1.5,13,0,Normal,0.5,Clear,0.27,0,1,0,1,15,1,28,0.21,0.7,1,3.4,29.9,79.1,0.0,0.0,0.0,0,29.6,9969.0,22.3,319,31.1,1,11.6
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43401,EMU Local,1,12.3,46.8,1.6,0.0,12.3,1.0,20,5,Normal,0.1,Clear,0.45,0,0,0,0,0,0,0,0.56,0.2,1,11.4,31.9,60.9,0.0,0.0,0.0,0,33.3,9966.0,26.4,193,44.1,1,2.6
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43407,EMU Local,17,0.4,45.4,2.2,32.8,59.4,1.0,9,2,Normal,0.4,Clear,0.44,0,0,0,0,0,0,0,0.51,3.8,1,0.4,30.9,80.1,0.0,0.0,0.0,0,57.1,8035.0,13.0,205,19.0,0,2.8
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43221,EMU Local,1,1.5,10.7,2.3,0.0,1.5,0.5,12,1,Normal,0.4,Clear,0.36,0,0,0,0,0,0,0,0.45,1.9,1,0.0,24.2,53.5,7.9,5.3,3.0,63,99.9,5830.0,32.2,93,41.0,1,3.5
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43501,Fast Local,21,3.8,48.3,2.0,41.0,77.6,0.5,13,2,Warning,5.6,Occupied,0.69,0,0,0,0,0,0,0,0.51,2.8,1,4.5,29.1,62.8,6.5,5.3,1.2,63,96.0,7502.0,37.0,91,60.8,2,13.0
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43207,EMU Local,20,13.3,20.4,1.7,38.949999999999996,83.4,1.0,11,3,Normal,0.2,Clear,0.46,0,0,0,0,0,0,0,0.61,6.0,2,13.5,27.0,66.7,0.0,0.0,0.0,0,27.9,9180.0,30.7,169,39.5,1,5.0
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43251,EMU Local,13,0.4,21.5,2.1,24.599999999999998,44.7,1.0,18,2,Normal,0.9,Clear,0.16,0,0,0,0,0,0,0,0.69,8.3,2,0.0,21.8,84.5,0.0,0.0,0.0,0,33.2,7867.0,13.9,290,20.9,0,7.1
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43213,EMU Local,9,0.1,47.5,2.0,16.4,29.6,0.5,21,4,Normal,0.1,Clear,0.26,0,0,0,0,0,0,0,0.29,3.4,1,0.4,29.4,80.4,0.0,0.0,0.0,0,20.1,8588.0,7.4,231,10.4,0,2.4
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43215,EMU Local,15,0.2,50.0,2.3,28.699999999999996,51.9,0.5,8,0,Normal,0.3,Clear,0.15,0,0,0,0,0,0,0,0.83,0.9,5,2.5,30.5,54.9,0.0,0.0,0.0,0,16.4,8856.0,6.9,329,8.8,0,3.8
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43213,EMU Local,3,0.2,60.1,1.9,4.1,7.6,0.5,21,2,Normal,1.3,Clear,0.29,0,1,0,0,20,1,16,0.2,1.3,1,0.0,25.6,81.8,0.0,0.0,0.0,0,25.9,7277.0,28.6,99,39.6,1,9.3
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43211,EMU Local,14,9.5,25.7,1.4,26.65,57.5,0.5,4,5,Normal,0.4,Clear,0.41,0,0,0,0,0,0,0,0.05,0.6,2,8.9,35.8,65.3,0.0,0.0,0.0,0,43.1,8351.0,31.0,204,38.7,1,1.1
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43219,Fast Local,11,5.1,30.9,2.0,20.5,42.0,1.0,5,3,Normal,0.6,Clear,0.16,0,0,1,0,30,1,92,0.31,1.3,2,5.9,33.0,79.3,10.5,8.0,2.1,63,83.7,5623.0,27.0,353,39.6,1,8.6
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43511,EMU Local,12,4.5,49.0,2.3,22.549999999999997,45.1,0.5,13,3,Warning,4.3,Occupied,0.65,0,0,0,0,0,0,0,0.61,2.7,2,3.7,31.9,62.9,0.0,0.0,0.0,0,58.8,6913.0,27.1,81,43.3,1,7.7
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43409,MEMU,13,3.0,60.4,2.2,24.599999999999998,47.3,0.5,9,0,Normal,0.1,Clear,0.33,0,1,0,0,30,1,73,0.6,4.5,2,3.6,33.6,70.7,0.0,0.0,0.0,0,53.8,7550.0,35.3,328,53.0,2,12.2
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43435,Fast Local,13,6.1,44.9,2.0,24.599999999999998,50.4,0.5,22,3,Normal,0.1,Clear,0.4,0,0,0,0,0,0,0,0.25,0.3,2,7.1,33.7,62.1,0.0,0.0,0.0,0,45.5,8638.0,19.7,217,29.8,0,0.3
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43201,EMU Local,1,0.7,28.8,1.8,0.0,0.7,0.5,14,6,Normal,0.7,Clear,0.12,0,0,1,1,20,1,94,0.12,0.1,2,2.4,32.6,70.8,0.0,0.0,0.0,0,13.7,7318.0,21.3,257,30.8,1,8.7
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43201,EMU Local,10,2.0,64.6,1.8,18.45,35.2,0.5,21,0,Normal,0.7,Clear,0.14,0,0,0,0,0,0,0,0.75,1.5,5,1.6,37.7,57.8,4.4,2.1,0.0,61,87.4,9791.0,13.1,175,16.7,0,3.8
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43251,EMU Local,3,2.7,38.1,1.8,4.1,10.1,1.5,19,4,Normal,0.0,Clear,0.35,0,0,0,0,0,0,0,0.95,10.0,3,1.1,23.1,61.8,11.700000000000001,9.8,1.8,63,82.9,6422.0,38.0,122,60.3,2,11.2
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43511,EMU Local,4,0.5,38.5,2.7,6.1499999999999995,11.6,1.0,11,0,Normal,0.2,Clear,0.44,0,0,0,0,0,0,0,0.21,0.0,1,0.2,33.6,64.4,0.0,0.0,0.0,0,15.0,5891.0,36.2,68,61.5,2,2.6
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43249,EMU Local,16,2.2,20.5,1.5,30.749999999999996,57.6,0.5,7,1,Normal,0.3,Clear,0.45,0,0,0,0,0,0,0,0.19,0.4,1,2.4,30.0,60.4,0.0,0.0,0.0,0,33.2,5992.0,12.7,91,16.8,0,2.3
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43227,Fast Local,8,1.5,52.9,2.2,14.349999999999998,27.3,1.0,14,3,Normal,0.9,Clear,0.38,0,0,0,0,0,0,0,0.35,1.4,1,0.8,37.1,67.5,0.0,0.0,0.0,0,10.9,6854.0,12.5,222,20.7,0,1.2
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43219,MEMU,16,0.1,54.8,1.3,30.749999999999996,55.4,1.0,13,3,Normal,0.3,Clear,0.18,0,0,0,0,0,0,0,0.31,1.1,2,0.3,33.0,73.0,0.0,0.0,0.0,0,27.8,7655.0,30.5,232,37.7,1,3.4
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43423,EMU Local,17,0.6,31.4,2.6,32.8,59.6,0.5,19,5,Normal,1.3,Clear,0.18,0,1,1,0,20,1,107,0.87,5.1,3,2.7,31.0,87.9,0.0,0.0,0.0,2,57.6,6562.0,11.1,358,15.2,0,13.3
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43425,EMU Local,19,5.8,68.3,1.8,36.9,72.2,0.5,15,2,Normal,2.8,Clear,0.45,0,0,0,0,0,0,0,0.23,0.3,1,5.1,37.3,58.6,0.0,0.0,0.0,0,38.1,9337.0,11.7,23,18.3,0,2.3
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43249,MEMU,15,0.1,33.2,1.6,28.699999999999996,51.8,0.5,6,1,Warning,4.3,Occupied,0.82,0,0,0,0,0,0,0,0.21,0.2,1,0.0,30.8,59.5,0.0,0.0,0.0,0,40.3,8507.0,33.2,305,52.6,2,8.9
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43247,Fast Local,16,10.9,51.4,2.2,30.749999999999996,66.2,0.5,14,6,Normal,0.5,Clear,0.37,0,0,0,0,0,0,0,0.09,0.6,1,12.0,33.2,72.4,4.1,2.5,0.0,61,74.5,6326.0,24.6,180,40.2,1,1.6
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43245,MEMU,15,0.4,45.4,1.0,28.699999999999996,52.1,1.0,19,2,Normal,0.2,Clear,0.31,0,0,0,0,0,0,0,0.68,4.2,2,0.0,29.0,52.4,0.0,0.0,0.0,0,59.1,8819.0,14.2,100,22.5,0,3.7
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43227,EMU Local,2,6.4,11.6,1.3,2.05,10.1,0.5,6,0,Warning,3.0,Occupied,0.95,0,0,0,0,0,0,0,0.15,0.2,1,6.4,32.0,74.9,0.0,0.0,0.0,0,18.3,7881.0,18.3,300,26.1,0,3.6
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43425,EMU Local,11,9.2,50.2,2.3,20.5,46.1,1.5,13,4,Normal,0.4,Clear,0.28,0,0,0,0,0,0,0,0.11,0.2,2,8.6,39.8,72.2,24.2,23.4,2.3,65,92.0,2347.0,10.7,36,15.2,2,6.4
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43425,EMU Local,1,11.3,48.8,2.7,0.0,11.3,1.0,19,5,Normal,0.2,Clear,0.48,0,0,0,1,0,1,48,0.56,1.2,2,9.3,34.9,78.5,0.0,0.0,0.0,0,33.4,9713.0,24.6,239,29.7,0,5.7
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43227,EMU Local,15,8.1,15.5,2.4,28.699999999999996,59.8,0.5,10,3,Normal,0.2,Clear,0.44,0,0,0,0,0,0,0,0.65,1.6,2,7.9,33.2,98.0,0.0,0.0,0.0,2,56.3,6228.0,10.1,237,17.1,0,1.6
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43217,EMU Local,19,1.4,64.9,2.2,36.9,67.8,1.0,18,6,Normal,0.6,Clear,0.45,0,0,0,0,0,0,0,0.88,5.6,3,0.6,26.0,72.7,0.0,0.0,0.0,0,42.0,9599.0,15.5,147,22.9,0,4.1
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43221,EMU Local,4,1.6,48.9,3.5,6.1499999999999995,12.7,0.5,18,6,Warning,5.8,Occupied,0.69,0,0,0,0,0,0,0,0.55,1.8,1,2.2,40.9,65.5,0.0,0.0,0.0,0,20.1,8518.0,37.0,148,57.9,2,12.8
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43505,EMU Local,11,2.2,60.6,2.4,20.5,39.1,0.5,13,4,Normal,0.7,Clear,0.14,0,0,0,0,0,0,0,0.46,1.2,2,2.4,26.6,83.5,0.0,0.0,0.0,0,49.8,6044.0,23.7,221,31.0,1,6.0
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43503,EMU Local,5,0.6,16.3,1.5,8.2,15.4,1.0,6,0,Normal,0.3,Clear,0.5,0,0,1,0,30,1,32,0.28,0.3,1,0.8,31.8,71.9,0.0,0.0,0.0,0,16.7,9543.0,16.5,108,24.9,0,6.5
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43409,EMU Local,3,0.1,35.8,2.7,4.1,7.5,0.5,9,0,Normal,0.1,Clear,0.16,0,0,0,0,0,0,0,0.76,0.1,4,0.0,33.3,70.0,0.0,0.0,0.0,0,50.6,7202.0,35.5,67,58.0,2,6.7
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43227,EMU Local,13,8.1,59.7,1.7,24.599999999999998,52.4,0.5,21,1,Normal,0.3,Clear,0.31,0,0,0,0,0,0,0,0.18,1.6,1,7.4,34.0,93.4,0.0,0.0,0.0,2,11.8,6037.0,17.2,263,21.9,0,0.0
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43209,EMU Local,10,3.2,18.5,1.7,18.45,36.4,1.0,8,2,Normal,1.5,Clear,0.21,0,0,1,0,20,1,115,0.51,2.2,2,3.5,28.7,81.0,0.0,0.0,0.0,0,17.1,6335.0,28.9,213,43.2,1,12.1
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43435,EMU Local,11,3.8,36.3,1.3,20.5,40.7,1.5,19,3,Normal,0.8,Clear,0.3,0,0,0,0,0,0,0,0.69,0.2,1,2.7,34.2,60.6,0.0,0.0,0.0,0,28.0,8641.0,15.9,240,21.1,0,2.5
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43205,EMU Local,18,10.5,48.1,1.9,34.849999999999994,73.2,0.5,16,6,Normal,0.1,Clear,0.22,0,0,0,0,0,0,0,0.17,0.2,2,10.5,26.6,60.9,0.0,0.0,0.0,0,13.3,9716.0,15.0,184,22.7,0,0.0
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43501,MEMU,2,4.4,13.6,1.4,2.05,8.1,0.5,6,3,Normal,0.2,Clear,0.46,0,0,0,0,0,0,0,0.53,1.9,2,4.8,38.1,56.0,0.0,0.0,0.0,0,50.9,6191.0,20.6,112,28.2,0,2.2
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43207,EMU Local,7,4.7,22.2,2.4,12.299999999999999,26.8,1.0,18,6,Normal,1.3,Clear,0.49,0,1,0,0,15,1,50,0.58,0.5,2,5.6,26.4,58.8,0.0,0.0,0.0,0,32.6,9585.0,23.4,355,38.0,1,14.5
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43223,EMU Local,9,6.2,62.7,2.0,16.4,35.7,1.0,23,4,Critical,11.2,Restricted,0.79,1,0,0,0,0,0,0,0.44,0.2,2,5.6,29.4,85.5,0.0,0.0,0.0,2,40.9,5320.0,19.2,333,29.6,0,16.8
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43435,EMU Local,10,0.5,42.9,1.3,18.45,33.7,0.5,9,1,Warning,2.8,Occupied,0.99,0,0,0,0,0,0,0,0.89,2.5,3,0.0,33.8,65.9,0.0,0.0,0.0,0,15.1,5624.0,32.5,217,43.0,1,8.3
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43211,Fast Local,18,1.8,59.7,2.1,34.849999999999994,64.5,1.5,7,5,Critical,20.3,Restricted,0.95,1,1,1,0,20,1,78,0.62,0.9,1,2.0,30.8,50.6,0.0,0.0,0.0,0,10.3,6813.0,27.8,330,34.4,1,34.7
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43211,EMU Local,7,13.8,44.7,2.7,12.299999999999999,35.9,1.0,18,0,Normal,0.4,Clear,0.25,0,1,0,0,15,1,46,0.87,5.4,3,12.9,37.6,77.5,0.0,0.0,0.0,0,59.1,7939.0,36.8,198,52.0,2,20.7
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43205,EMU Local,7,10.3,75.0,3.1,12.299999999999999,32.4,1.0,21,1,Normal,0.3,Clear,0.49,0,0,1,0,30,1,23,0.55,5.8,2,8.6,36.5,74.0,0.0,0.0,0.0,0,17.2,7869.0,17.6,74,28.3,0,10.4
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43403,EMU Local,3,8.6,48.6,1.0,4.1,16.0,1.5,12,3,Normal,0.0,Clear,0.14,0,0,0,0,0,0,0,0.5,1.6,2,9.0,33.5,66.6,0.0,0.0,0.0,0,51.5,5224.0,22.9,2,32.5,1,3.6
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43401,EMU Local,12,2.4,61.0,1.6,22.549999999999997,43.0,1.5,23,5,Normal,0.5,Clear,0.15,0,1,0,0,20,1,62,0.3,1.3,1,2.1,28.6,64.4,0.0,0.0,0.0,0,42.0,5181.0,33.6,337,50.4,2,13.8
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43503,EMU Local,7,7.8,38.3,1.3,12.299999999999999,29.9,0.5,7,2,Normal,0.1,Clear,0.38,0,0,0,0,0,0,0,0.1,1.4,1,8.4,31.0,72.2,3.1,1.1,0.0,61,73.1,8295.0,14.0,222,18.7,0,0.0
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43407,EMU Local,17,0.2,45.2,2.3,32.8,59.2,0.5,19,4,Normal,0.5,Clear,0.4,0,1,0,0,15,1,23,0.86,0.8,5,0.0,25.7,72.9,1.8,1.1,0.0,61,82.1,7230.0,29.7,267,43.2,1,15.5
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43251,Fast Local,1,0.6,51.6,1.3,0.0,0.6,1.0,21,0,Normal,0.4,Clear,0.29,0,1,0,0,20,1,99,0.42,3.5,1,0.7,28.1,76.8,0.0,0.0,0.0,0,29.5,7406.0,24.5,51,40.3,1,8.7
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43221,EMU Local,5,2.1,54.1,2.7,8.2,16.9,2.0,8,0,Normal,0.3,Clear,0.21,0,0,0,0,0,0,0,0.46,1.3,1,0.0,30.5,51.0,0.0,0.0,0.0,0,36.4,5150.0,24.5,250,35.6,1,4.8
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43247,Fast Local,16,2.6,41.4,2.8,30.749999999999996,58.0,1.0,16,0,Normal,0.0,Clear,0.22,0,1,0,0,20,1,24,0.24,0.2,1,3.3,35.0,58.8,0.0,0.0,0.0,0,36.7,9994.0,13.7,33,22.6,0,7.8
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43409,MEMU,15,1.2,42.0,2.6,28.699999999999996,52.9,0.5,9,2,Normal,0.5,Clear,0.24,0,0,0,0,0,0,0,0.96,1.1,3,0.6,33.2,66.6,0.0,0.0,0.0,0,18.9,7945.0,13.9,148,21.7,0,3.2
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43203,EMU Local,2,1.8,49.5,1.7,2.05,5.5,1.0,22,3,Normal,0.3,Clear,0.19,0,0,0,0,0,0,0,0.06,0.2,2,1.6,30.4,56.0,0.0,0.0,0.0,0,42.0,9571.0,35.7,143,54.9,2,7.5
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43511,Fast Local,9,0.7,49.5,1.7,16.4,30.2,0.5,15,3,Normal,0.3,Clear,0.44,0,0,0,0,0,0,0,0.39,3.5,2,0.5,28.5,77.7,0.0,0.0,0.0,0,18.7,6829.0,6.3,283,10.4,0,2.5
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43207,EMU Local,7,2.7,26.6,1.8,12.299999999999999,24.8,2.0,18,1,Normal,0.5,Clear,0.13,0,0,0,0,0,0,0,0.86,0.4,3,2.3,34.6,80.1,0.0,0.0,0.0,0,37.1,7804.0,23.0,317,30.0,0,2.5
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43221,EMU Local,4,6.3,45.4,2.8,6.1499999999999995,17.4,0.5,12,5,Warning,6.4,Occupied,0.92,0,0,0,0,0,0,0,0.37,1.3,2,6.4,29.2,64.7,0.0,0.0,0.0,0,43.6,7127.0,27.8,28,45.2,2,11.7
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43215,EMU Local,20,4.3,46.8,1.1,38.949999999999996,74.4,1.5,10,6,Normal,0.0,Clear,0.4,0,0,0,0,0,0,0,0.37,0.6,1,4.3,34.2,80.0,0.0,0.0,0.0,0,50.6,5598.0,11.0,164,14.4,0,1.4
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43407,EMU Local,18,0.5,27.4,2.3,34.849999999999994,63.2,0.5,17,1,Warning,2.2,Occupied,0.99,0,1,0,1,20,1,42,0.8,1.1,3,0.8,33.6,74.7,38.9,38.3,1.2,65,85.0,3492.0,22.6,58,36.3,2,15.2
SIMULATED TRAINING DATA — PROTOTYPE ONLY,66069,EMU Local,21,2.7,55.6,1.5,41.0,76.5,1.5,22,3,Normal,0.1,Clear,0.45,0,0,0,0,0,0,0,0.4,0.3,2,1.2,35.8,74.8,0.0,0.0,0.0,0,40.7,6178.0,34.8,26,46.9,2,5.6
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43435,EMU Local,4,4.8,48.2,1.8,6.1499999999999995,15.9,0.5,23,0,Normal,0.6,Clear,0.38,0,0,0,0,0,0,0,0.26,2.0,2,5.7,28.1,37.5,9.3,7.5,3.9,63,82.4,6312.0,31.7,339,52.0,2,7.9
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43505,EMU Local,13,3.0,75.0,2.5,24.599999999999998,47.3,1.0,19,2,Normal,0.4,Clear,0.13,0,0,0,0,0,0,0,0.58,0.9,1,2.9,29.7,69.7,0.0,0.0,0.0,0,28.1,8765.0,34.1,21,49.4,2,8.2
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43247,EMU Local,1,2.0,41.6,1.2,0.0,2.0,2.0,7,3,Critical,18.0,Restricted,0.62,1,1,0,0,30,1,54,0.68,1.4,2,2.4,31.5,64.8,0.0,0.0,0.0,0,12.3,6707.0,18.7,127,31.4,1,29.1
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43219,EMU Local,3,3.9,59.0,1.9,4.1,11.3,1.0,15,2,Normal,0.7,Clear,0.29,0,0,0,0,0,0,0,0.32,0.3,2,3.7,30.3,70.3,8.1,4.3,0.0,61,86.0,8715.0,25.4,126,31.5,1,2.7
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43217,EMU Local,16,13.8,50.1,2.0,30.749999999999996,69.1,1.0,21,4,Normal,1.0,Clear,0.36,0,1,0,0,20,1,24,0.56,1.8,2,12.5,28.8,66.9,0.0,0.0,0.0,0,15.9,9916.0,11.1,212,13.4,0,9.4
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43237,EMU Local,4,0.4,70.8,2.1,6.1499999999999995,11.5,0.5,11,0,Normal,0.2,Clear,0.45,0,0,0,0,0,0,0,0.36,0.7,1,3.4,28.8,57.6,0.0,0.0,0.0,0,48.0,6629.0,33.5,261,56.5,2,6.8
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43249,EMU Local,16,2.0,27.5,2.0,30.749999999999996,57.4,0.5,20,4,Normal,0.2,Clear,0.45,0,0,0,0,0,0,0,0.53,0.4,1,2.2,26.4,68.0,0.0,0.0,0.0,0,50.7,6179.0,10.0,278,12.5,0,1.5
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43219,MEMU,19,2.1,34.6,2.4,36.9,68.5,1.5,6,3,Normal,0.9,Clear,0.26,0,1,1,0,15,1,119,0.26,0.3,2,0.2,28.4,67.0,9.0,7.5,1.2,63,75.4,8763.0,9.0,97,14.0,1,12.3
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43435,EMU Local,1,3.4,28.0,1.8,0.0,3.4,0.5,7,1,Normal,0.1,Clear,0.2,0,0,0,0,0,0,0,0.27,0.5,2,3.3,34.3,82.8,3.4000000000000004,0.7,0.0,61,85.3,7874.0,31.9,269,45.8,2,3.9
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43425,MEMU,5,0.7,40.8,2.3,8.2,15.5,1.0,13,3,Normal,0.3,Clear,0.2,0,0,1,0,15,1,58,0.27,0.1,1,0.2,35.1,70.3,11.3,10.8,2.5,63,84.7,8980.0,16.8,186,26.7,1,10.9
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43511,EMU Local,19,0.8,25.1,2.3,36.9,67.2,1.0,19,4,Normal,0.1,Clear,0.41,0,1,0,0,15,1,85,0.78,0.1,5,0.6,32.7,65.1,0.0,0.0,0.0,0,57.0,5792.0,29.3,195,37.4,1,14.9
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43425,EMU Local,11,1.3,19.1,2.3,20.5,38.2,0.5,23,2,Warning,6.4,Occupied,0.73,0,0,0,0,0,0,0,0.17,2.9,1,0.0,30.5,57.0,0.0,0.0,0.0,0,56.0,8275.0,37.1,230,57.4,2,12.2
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43205,EMU Local,13,12.5,10.0,2.4,24.599999999999998,56.8,0.5,5,5,Normal,0.3,Clear,0.13,0,0,0,0,0,0,0,0.4,3.7,2,12.5,31.1,98.0,0.0,0.0,0.0,2,42.1,8603.0,16.3,251,20.0,0,2.1
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43425,EMU Local,20,5.3,9.0,2.3,38.949999999999996,75.4,0.5,15,5,Normal,0.1,Clear,0.11,0,1,0,0,15,1,93,0.28,0.9,1,4.3,37.1,83.9,0.0,0.0,0.0,0,48.7,5670.0,36.2,276,59.5,2,16.0
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43223,EMU Local,5,4.3,51.8,2.0,8.2,19.1,0.5,19,3,Warning,5.3,Occupied,0.63,0,0,0,0,0,0,0,0.89,0.9,3,6.1,34.9,74.0,0.0,0.0,0.0,0,19.9,5769.0,13.6,210,21.2,0,7.5
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43247,MEMU,21,6.8,35.2,1.3,41.0,80.6,1.5,13,6,Normal,0.1,Clear,0.25,0,1,0,0,30,1,75,0.31,0.3,1,6.7,21.0,55.0,9.299999999999999,8.2,1.2,63,92.6,9700.0,30.6,152,42.3,1,6.6
SIMULATED TRAINING DATA — PROTOTYPE ONLY,43511,EMU Local,4,0.5,23.5,2.9,6.1499999999999995,11.6,1.0,8,1,Normal,1.4,Clear,0.21,0,0,0,0,0,0,0,0.57,1.2,1,1.4,28.1,53.8,0.0,0.0,0.0,0,27.0,5950.0,23.3,248,29.4,0,3.6
